name,developer,price
Counter-Strike,Valve,999
Counter-Strike 2,Valve,999
Team Fortress Classic,Valve,499
Day of Defeat,Valve,499
Deathmatch Classic,Valve,499
Half-Life: Opposing Force,Gearbox Software,499
Ricochet,Valve,499
Half-Life,Valve,999
Counter-Strike: Condition Zero,Valve,999
Half-Life: Blue Shift,Gearbox Software,499
Half-Life 2,Valve,999
Counter-Strike: Source,Valve,999
Half-Life: Source,Valve,999
Day of Defeat: Source,Valve,999
Half-Life 2: Deathmatch,Valve,499
Half-Life 2: Lost Coast,Valve,0
Half-Life Deathmatch: Source,Valve,999
Half-Life 2: Episode One,Valve,799
Portal,Valve,999
Half-Life 2: Episode Two,Valve,799
Team Fortress 2,Valve,0
Left 4 Dead,Valve,999
Left 4 Dead 2,Valve,999
Dota 2,Valve,0
Portal 2,Valve,199
Alien Swarm,Valve,0
Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",0
Rag Doll Kung Fu,Mark Healey,99
Red Orchestra: Ostfront 41-45,Tripwire Interactive,499
Killing Floor,Tripwire Interactive,1999
SiN Episodes: Emergence,Ritual Entertainment,999
SiN: Gold,"Ritual Entertainment, Nightdive Studios",999
Darwinia,Introversion Software,999
Uplink,Introversion Software,999
DEFCON,Introversion Software,999
Multiwinia,Introversion Software,999
Dangerous Waters,Sonalysts,1499
Space Empires IV Deluxe,Malfador Machinations,399
Jagged Alliance 2 Gold,Strategy First,1999
Disciples II: Rise of the Elves ,Strategy First,699
Disciples II: Gallean's Return,Strategy First,699
Iron Warriors: T - 72 Tank Command ,Strategy First,99
Space Empires V,Malfador Machinations,399
Arx Fatalis,Arkane Studios,499
Earth 2160,Reality Pump Studios,499
Two Worlds Epic Edition,Reality Pump Studios,999
Dark Messiah of Might & Magic,Arkane Studios,999
Quake III Arena,id Software,1499
Quake 4,RavenSoft / id Software,1499
Wolfenstein 3D,id Software,499
Ultimate Doom,id Software,499
Final DOOM,id Software,499
DOOM II,id Software,499
QUAKE,"id Software, Nightdive Studios, MachineGames",999
QUAKE II,id Software,499
QUAKE II Mission Pack: The Reckoning,Xatrix Entertainment,299
QUAKE II Mission Pack: Ground Zero,Rogue Entertainment,299
QUAKE III: Team Arena,id Software,1499
HeXen: Beyond Heretic,Raven Software,499
HeXen: Deathkings of the Dark Citadel,Raven Software,499
Heretic: Shadow of the Serpent Riders,Raven Software,499
The Ship: Murder Party,Outerlight Ltd.,999
The Ship: Single Player,Outerlight Ltd.,999
Bloody Good Time,Outerlight Ltd.,499
Shadowgrounds,Frozenbyte,699
Gumboy - Crazy Adventures,"CINEMAX, s.r.o.",499
RIP - Trilogy,Elephant Games,499
Vigil: Blood Bitterness,Freegamer,0
Alpha Prime,Black Element,499
Vampire: The Masquerade - Bloodlines,Troika Games,1999
GUN,Neversoft,1999
Call of Duty,Infinity Ward,1999
Call of Duty 2,Infinity Ward,1999
Call of Duty: United Offensive,Gray Matter Studios,1999
RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)",0
Act of War: Direct Action,Eugen Systems,299
ThreadSpace: Hyperbol,Iocaine Studios,99
ARMA: Combat Operations,Bohemia Interactive,799
X2: The Threat,Egosoft,499
X3: Reunion,Egosoft,999
X3: Terran Conflict,Egosoft,1599
X: Beyond the Frontier,Egosoft,499
X: Tension,Egosoft,499
X Rebirth,Egosoft,2999
688(I) Hunter/Killer,Sonalysts,999
Fleet Command,Sonalysts,999
Sub Command,Sonalysts,999
FlatOut 2,Bugbear Entertainment,999
Xpand Rally,Techland,89
Call of Juarez,Techland,249
Xpand Rally Xtreme,Techland,89
Men of War: Red Tide,1C Entertainment,499
King's Bounty: Armored Princess,Katauri Interactive,999
Genesis Rising,Metamorf,499
Safecracker: The Ultimate Puzzle Adventure,Kheops Studio,499
Painkiller Overdose,Mindware Studios,499
Bejeweled 2 Deluxe,"PopCap Games, Inc.",124
Chuzzle Deluxe,"PopCap Games, Inc.",124
Insaniquarium Deluxe,"PopCap Games, Inc.",124
Zuma Deluxe,"PopCap Games, Inc.",99
AstroPop Deluxe,"PopCap Games, Inc.",124
Bejeweled Deluxe,"PopCap Games, Inc.",124
Big Money! Deluxe,"PopCap Games, Inc.",124
Dynomite Deluxe,"PopCap Games, Inc.",124
Feeding Frenzy 2 Deluxe,"PopCap Games, Inc.",124
Hammer Heads Deluxe,"PopCap Games, Inc.",0
Heavy Weapon Deluxe,"PopCap Games, Inc.",124
Iggle Pop Deluxe,"PopCap Games, Inc.",124
Pizza Frenzy Deluxe,"PopCap Games, Inc.",124
Typer Shark! Deluxe,"PopCap Games, Inc.",99
Talismania Deluxe,"PopCap Games, Inc.",99
Peggle Deluxe,"PopCap Games, Inc.",124
Peggle Extreme,"PopCap Games, Inc.",0
Venice Deluxe,"Retro64, Inc.",0
Mystery P.I. - The Lottery Ticket,SpinTop Games,99
Amazing Adventures The Lost Tomb,SpinTop Games,124
Mystery P.I. - The Vegas Heist,SpinTop Games,99
Amazing Adventures Around the World,SpinTop Games,124
Peggle Nights,"PopCap Games, Inc.",124
Bejeweled Twist,"PopCap Games, Inc.",124
Mystery P.I. - The New York Fortune,SpinTop Games,99
The Wizard's Pen,"PopCap Games, Inc.",99
Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.",199
Escape Rosecliff Island,SpinTop Games,124
Mystery P.I. - Lost in Los Angeles,SpinTop Games,99
Zuma's Revenge!,"PopCap Games, Inc.",99
Sniper Elite,Rebellion,799
Judge Dredd: Dredd vs. Death,Rebellion,799
Evil Genius,Elixir Studios,999
Aliens versus Predator Classic 2000,Rebellion,499
Advent Rising,"GlyphX Games, Cavetap",999
BloodRayne (Legacy),Terminal Reality,0
BloodRayne 2 (Legacy),Terminal Reality,0
Psychonauts,Double Fine Productions,999
Sid Meier's Civilization IV,Firaxis Games,1999
Sid Meier's Civilization III Complete,Firaxis Games,499
Sid Meier's Pirates!,Firaxis Games,999
Shattered Union,PopTop,499
CivCity: Rome,"FireFly Studios, Firaxis Games",999
Civilization IV: Warlords,Firaxis Games,499
Garry's Mod,Facepunch Studios,999
Poker Superstars II,Funkitron,999
RACE - The WTCC Game,SimBin,3999
RACE: Caterham Expansion,SimBin,499
RoboBlitz,Naked Sky Entertainment,999
Silverfall,Monte Cristo,499
City Life 2008,Monte Cristo,999
Silverfall: Earth Awakening,Monte Cristo,999
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,1999
Full Spectrum Warrior,Pandemic Studios,249
Full Spectrum Warrior: Ten Hammers,Pandemic Studios,249
Company of Heroes - Legacy Edition,Relic Entertainment,1999
"Warhammer 40,000: Dawn of War - Game of the Year Edition",Relic Entertainment,1299
